gender,count
male,120978
female,19608
,7750
male male,1706
male male male,1062
male female,945
male ,872
 male,507
female male,383
female female,175
 ,155
male male female,118
female male female male male male,109
male male ,99
female male male male ,89
 male female,81
female  male,75
female male female male male male male,62
female transwoman,62
female ,60
female male ,56
 male male,55
 male male male female male  male   male male male female male  male   ,49
male female male,41
male male male ,40
male male male male,40
male  ,39
male female ,36
 male male male,34
male female female,28
 male male male male male,26
male  male,25
  ,25
female  ,24
male male female female,23
female male male,20
male male male male ,20
male  female male,20
female male male male male ,19
 male male male male,18
male female male male,18
male male male male male male male female,17
male  female,17
 male female ,16
male male male male  female male male male male,14
female male female male male,13
 male ,13
male male male male male,12
non-binary,12
male male male male male male ,12
 female male,11
 female,11
female female male female male,11
 female male male female male,11
male male male male  male,10
male male female male ,10
male male  ,9
female female male female male male male ,9
 male male male male male male,9
  male,9
male  female male male,8
 female female,8
male male male male male male male ,7
male male female ,7
male female male male ,7
male female male male female ,6
female female female female  ,6
 female male male,6
 male  ,6
 male female male,6
male male male female ,5
male    male,5
 male male ,5
   male,5
female male male female  ,5
 male male female,5
male female male ,5
male male  male ,4
male male male  ,4
male female male female,4
male male male male female ,4
female male male ,4
male  male female,3
female male female,3
male male male male male male male male ,3
male female male female male ,3
male male male male male male,3
female  male male male,3
female male  ,3
 male male male male male male male male male male,3
 male male male male male male male,3
male  male male,3
male male male male male male male male male male male male male male male male male male male ,3
 male female female  male male male         ,3
male male male female male male,3
male  male male ,3
    ,3
 male male female female male,3
male female male male   ,2
 male female male male male,2
 female male male male male,2
 male female female,2
male  male  male,2
 male male female male,2
male male   male,2
male       ,2
male  female  male        female male male  ,2
male male male male male male male male male male female ,2
male  male male male male,2
male   female male ,2
male male male male male male female male male male ,2
male  male  ,2
 male male male ,2
male male  female,2
male male male male male male male male male male male ,2
male   male ,2
 female female female,2
female  female,2
male male male male male ,2
female female male ,2
 male male male female male,2
 female male male female,2
 male female male male,2
male         ,2
male female female male ,2
   ,2
male             ,2
male  male ,2
  male ,2
male male male female male ,2
male male male male male female,2
male male male male male female female ,2
female female male male female ,2
male male male female,2
male female  male,2
male   ,2
male male female female male ,2
male female male male male ,2
female female male,2
female  male male,2
male male male male male male male male male male male male male ,2
male male female male,2
male female male male male male male male ,2
gender non-conforming,2
male male  male male,2
male female male male male,2
 male  male,2
 female male female male male female male,2
female male male female ,2
male male male male male male male male male male ,2
  male male male  male,1
male male male male male female female,1
male male female male male,1
 male   male,1
male female female  non-binary female,1
male male female  male ,1
male male female male  ,1
 male female male male ,1
female  male female male male female,1
male  male  female,1
male  male male male,1
male male male  female female,1
 male female female male,1
male  male male  ,1
  male male male,1
male  female male male male  male male  ,1
male  male male female ,1
 female female male,1
male female  male ,1
 male male male male male male male male male female,1
male male male  male male male,1
 male male male male male male male   male female male female male male male male male female male male,1
 male male male female male male male male  male male,1
 female female male male,1
male  male male male male male female female male male male male ,1
male male female male male female  male  male male male male ,1
 male male male male female male male female male male male,1
 female female female female female female female female female female female female female female female female female female female female,1
male female male male male male male,1
male  male male male  ,1
 male male male male male male female male male male male male  male,1
 male male  male male female male female male male male female male male male male,1
 female female male male male,1
female female female  male female,1
male male male male male male male male female male male,1
male male  female  male male male female female male male male female male male female male male male male male ,1
male male male male  male male male male male  male male     ,1
male  male male male male  male male male    ,1
male male  male male female male  male male male male male male male male  male  female     ,1
male male male male male  male male female male male male   male male male male female male male male male male  male ,1
female male female male male  ,1
male male male male male   male male female male male male   male male male male female,1
 male male male male male female male male male male male  male male male male,1
 male male male male male female male male male female male male male,1
male male male female male male male female male female male male male male ,1
male male male  male male ,1
male male male  male,1
male   male,1
 female male male female male male female male male male,1
 male male male male female male male male male male male male male,1
 male male male  male male female,1
male female male male male female male,1
male male male male male female female male male male male,1
female   ,1
 female  ,1
 female male female,1
female female ,1
male female female female male female male male female  ,1
 male  male  male female male male male,1
female female male male male male male ,1
 male male male male female male female male,1
male male male male   ,1
male  male male male male ,1
female male male male male male female female male male female male male male male female male female male male female female male male male male male male female female ,1
 male male male male male male male male male male male female male female male male,1
 male male male male male  male male,1
  male male,1
 female male female female female male male male female,1
 male male male male male ,1
 male  male male male male,1
male male male male male female female male male male male male female male male male male male female male male male male male male male male male male male male male male male female female male male male male male female female male female male male male female male male male male male male female female female male male female male male male female male male male male male male male female female male male male male male male male male male male male male male male male male male male male male male male male male male male male female male male female male male male female male male female female male female male female male male male male male male male male male male male male male male female ,1
transgender woman,1
 male male female male male male,1
 male female male male female female male male male female female male,1
female female female female,1
male female female male female male female,1
 male male female female female female,1
 female male ,1
 female male male male female female female male female female female,1
male male  male male male,1
 male female male male male male male male,1
male  female male male male male male male,1
male    ,1
male male   male   ,1
 male male female female,1
 female female male male male male female male male male male male  male male male female male male male female,1
 female male male male male   male     female   female male,1
 male male    male ,1
male male male male male   male male female male male male  male male male male male male male male male  male  female,1
 male male male male  male,1
female female male female  male male,1
male female male female  male male,1
male female male female   male,1
male female  female male female male,1
male male  female male   male male male male female male male male  male male male  male male   male male ,1
female female female,1
female female   male,1
male female female male male male male ,1
male male female male male male,1
 male female male female male,1
 male male male male  male female male male female male male male male male male male female male male male male,1
female male female female,1
male  female male male male male male,1
male  male male     ,1
 male male female female female ,1
 male female male male male male male,1
female male female male,1
male      ,1
male  male    ,1
male                     ,1
male               ,1
female  male ,1
female male male male,1
female male    male  male male male female male male female male,1
 male male male male male male female male male male female male male male male male male ,1
  male male male male      ,1
  male male male male,1
    male male female  female   male,1
female male male male male  ,1
male   male female ,1
     male ,1
female   male male male male male male male  male male male,1
male female  male         female male male  ,1
male male female female female ,1
male female male male male male male male female male ,1
female male male male female male male male male male ,1
male female male male male male male male female male male ,1
female male male male male male female male male male male male male ,1
  male female  ,1
male female male male male male male female male male male male male male male male male male male male ,1
male male  male male male male,1
 male   ,1
male male male male male male male male male female male male male male male male male ,1
male male   female male,1
male male female female ,1
male male male female male  male   male male male female male  male    ,1
male male male male male male male male male male male male male male male male male male male male male male male male  male male male male ,1
 female female female male male male female female  male male female male,1
male male male female male male male male male ,1
male male male male male male   male male,1
female male male male male male male female male male ,1
male male  male,1
male male male female male male male male male male male male male  male male male male male ,1
male male male female female male male male male male male male male male male male male ,1
female male female male male male male male male male male male male male male male male male male male male male male male male male male ,1
male female male female ,1
male male male male male male male male  male male ,1
male male female male male female male male male male male male male male male male male male male  male,1
male male male male male male male male male male female male male  ,1
male male male male female male male male male male male male male female male male ,1
male male male male male male female male male male male male female male male male male male female male male male male male male ,1
male male male male male male male male male male male male female male male ,1
male male male male female male male ,1
male male male female male,1
male male male male male male male male male male male male male male male male female male male male male ,1
male male male male male male male male,1
male male male  male male female,1
female male male male male male male male male male male male male male male male male male male male ,1
male male male male male male male male male male male male male male male  male ,1
male male male male male male male male male male female male male male female male male female male female female female male male ,1
male female male male male male male male male male male male male male male male male male male male ,1
male male female male male male male male male male male male male male male male ,1
male male male  male male,1
 male female male male male male female male,1
male female male male male male female female male male male male female male male female male male male male male male male male male male male female ,1
male female male male male male female male female male female female female male female male male male ,1
female female male male male ,1
male male male male female female female ,1
male male male male male male male male male male male male male male male male male male female male male male male ,1
male male male male male male male male male male male male female male male male male male male male male male male ,1
 male male  male,1
male male male male male male female  ,1
male male male male   male,1
  female  ,1
male male female male male male male male,1
male male male male female male,1
male male male female male male male male male male,1
male  male female male male male male female,1
male female female male,1
female male female female male ,1
male female male male male male male female male male female male female male female female male male female male male male male male male female male female female ,1
male male male male male male male male male male male male male female ,1
male male male female male male ,1
male male male male male female male male male female male male male male male ,1
male male male male male female male female male male male male male male male male ,1
male male male   ,1
male male male male male male male male male ,1
male female male male male male male ,1
male male male male male male male female male male male ,1
female male male male female male ,1
male male  male male male male  ,1
female male male male female ,1
male male  male male ,1
male male male male male  male male,1
male male male male male female female male male male ,1
male male male female male female ,1
male male male male male male male male male male female female male male male male male male male male ,1
male male male male female male ,1
male male female female female male,1
 female female male female male,1
female male male  male male  male  ,1
 male male male male male male female male male,1
male male male female  ,1
male male male female male male  male  male  ,1
male male male male male male male,1
      male male male male male male female female male ,1
 female male male male female,1
 male male male male male male male male female male ,1
 male male male male male male male male female male,1
female female female male male male male female male male male ,1
male male male male male male male female female male ,1
 male male    male   male   male male,1
male male male male male male male male male male male male ,1
 male male male male male female male male male male,1
 male male male male male male male male,1
 male male female female male male,1
male  male male male male male,1
male male male male male male male male male male male male female male male female male male male male male male male male male male male male male ,1
male female male   ,1
 male male  female male,1
male male male female  female,1
 male male male male male male male male male male female,1
female male male female female ,1
 male female male male male female female female male,1
 male male male male female  male female male male male ,1
 male male male  female   ,1
female female male male,1
female female male female ,1
   female male male,1
female male male  ,1
     ,1
male female  ,1
 male male female male male male male female male male male male male ,1
  male    male   ,1
 male  female,1
 male female male male male male female male male female,1
 male  male male male female,1
 male male male male male male male female male male,1
 male male male male male male male male male male male male,1
 male male female male male male male,1
male male male female female male male male male male male male male ,1
male male    male,1
male male male male male male female male male male male male ,1
male male male male male male male female male male ,1
female male male male male male male male male male male male male male male male female ,1
 female male female male male male male,1
female male male female male female male male male male female female male male male male ,1
male male male male male male male male male female male male male male male male male male female male female ,1
 female male male male male female male male,1
  male male male   ,1
 male male   male male male male male male male male male male male male male male ,1
 female male male male male male,1
male female female male male ,1
female male male female male male male male female male male ,1
female male female male male male female ,1
male male male male male female ,1
 female male  male,1
 female male female male female male female,1
 male  male ,1
  male male ,1
female male male  male ,1
 male female male male female female male male male male female male female female male female female male male female male female female male female male female female female female male male male male male female male  male female male male female male male male,1
 male female male male male male  male male female male male male female  male female male female male male male male female male male male male male male,1
male male male male male male male male female male male ,1
female male female male male female male male male male male male ,1
male female male male male male male  male male  male,1
male male male female female male male female male male male ,1
male female male male male male male female male female male ,1
male male male male male male male male  male,1
 female male male female female male male male male male male male,1
male  male male male male male male male male male male male   male,1
 male male male male male male male male male,1
male male female female male male male female male female male female female male male male male male male male male male male male male male male male male ,1
male male  male  ,1
male male female  ,1
male male   ,1
 male male  male male male,1
